ENSGID	mouse_brain2_average_expression.1	mouse_brain2_average_expression.2	mouse_brain2_average_expression.3	mouse_brain2_average_expression.4	mouse_brain2_average_expression.5	mouse_brain2_average_expression.6	mouse_brain2_average_expression.7	mouse_brain2_average_expression.8	mouse_brain2_average_expression.9	mouse_brain2_average_expression.10	mouse_brain2_average_expression.11	mouse_brain2_average_expression.12	mouse_brain2_average_expression.13	mouse_brain2_average_expression.14	mouse_brain2_average_expression.15	mouse_brain2_average_expression.16	mouse_brain2_average_expression.17	mouse_brain2_average_expression.18	mouse_brain2_average_expression.19	mouse_brain2_average_expression.20	mouse_brain2_average_expression.21	mouse_brain2_average_expression.22
ENSG00000186092	-0.19379953848715192	-0.19856619549425797	0.5234346695445354	0.3147685265564739	-0.16683488501799204	0.15014924861688736	0.37127634138860693	-0.3153264620732524	0.12038789666041555	-0.03561494608791756	0.5040428975546504	0.19001025251076864	0.06665031537978482	-0.3304487225805179	-0.002155918186252877	0.4210552536005749	-0.04735251907988133	-0.11135371632617361	-0.016164574299627043	-0.23049159669564456	0.11117031726272877	0.691529438542852
ENSG00000235249	-0.19379953848715192	-0.19856619549425797	0.5234346695445354	0.3147685265564739	-0.16683488501799204	0.15014924861688736	0.37127634138860693	-0.3153264620732524	0.12038789666041555	-0.03561494608791756	0.5040428975546504	0.19001025251076864	0.06665031537978482	-0.3304487225805179	-0.002155918186252877	0.4210552536005749	-0.04735251907988133	-0.11135371632617361	-0.016164574299627043	-0.23049159669564456	0.11117031726272877	0.691529438542852
ENSG00000185097	-0.19379953848715192	-0.19856619549425797	0.5234346695445354	0.3147685265564739	-0.16683488501799204	0.15014924861688736	0.37127634138860693	-0.3153264620732524	0.12038789666041555	-0.03561494608791756	0.5040428975546504	0.19001025251076864	0.06665031537978482	-0.3304487225805179	-0.002155918186252877	0.4210552536005749	-0.04735251907988133	-0.11135371632617361	-0.016164574299627043	-0.23049159669564456	0.11117031726272877	0.691529438542852
ENSG00000187634	1.0213334320874137	-0.05269347841412495	-0.2988806855545824	-0.3538192541077853	0.10194489430567152	-0.3748726093500949	-0.17975326708717498	-0.569629413322092	0.42962824446013215	-0.3847845702458512	-0.07729157855835044	0.5337597859277823	-0.2661467760921192	0.16446978782030025	-0.3020304201612093	0.14658700130756436	-0.1731218151509981	-0.05444747756832053	0.008819719773694517	0.1569354235514236	-0.4504160589513828	0.044799857830528325
ENSG00000188976	0.5696829478670428	0.9880799832270756	-0.8038949417453	-0.8223614145229964	0.7661183933210319	0.36262994692672923	-0.44561396727160574	-0.4628667744796045	0.7680118950001179	1.0784503731868857	-0.5802258919948065	-0.2025686384258851	0.10699863455212974	0.7149978869489818	-0.5470546857867972	-0.5324960930685172	0.10054871386973785	-0.22329763978768166	-0.06438612295271905	0.6443442549925704	-0.8169118121631866	0.6915294385428858
ENSG00000187961	0.4361878967137796	0.11713753955479697	-0.3527886735239621	-0.2168510545251959	-0.0721015915042681	0.09513177872477292	0.14167767088254093	-0.07849829143619165	-0.021391094374052344	0.48900781826985223	-0.1445206836310182	0.3429197156354351	0.4632287281998495	0.5438053863677007	-0.2425512775833857	-0.042076521600331165	-0.3622209921674348	-0.1731662188079344	0.007435361346331592	0.5617077944464588	-0.055319522060657586	0.6915294385428371
ENSG00000187583	0.24380715077006765	-0.12383313720892031	-0.16471791683046527	0.002077320543904832	0.06190058214256925	0.19128227314245952	0.052189012173850705	-0.20692209474857923	0.06701892293221683	-0.31164621434121675	0.08585387069814934	-0.053432562616821166	0.7939831304300021	-0.26660774672146836	0.15736394416621255	0.01747699546192742	0.03221984984022154	0.11464870937934557	0.04977424156947569	0.23665200379045473	-0.14949052130513352	0.5000189801681306
ENSG00000187642	-0.19379953848715192	-0.19856619549425797	0.5234346695445354	0.3147685265564739	-0.16683488501799204	0.15014924861688736	0.37127634138860693	-0.3153264620732524	0.12038789666041555	-0.03561494608791756	0.5040428975546504	0.19001025251076864	0.06665031537978482	-0.3304487225805179	-0.002155918186252877	0.4210552536005749	-0.04735251907988133	-0.11135371632617361	-0.016164574299627043	-0.23049159669564456	0.11117031726272877	0.691529438542852
ENSG00000188290	-0.19379953848715192	-0.19856619549425797	0.5234346695445354	0.3147685265564739	-0.16683488501799204	0.15014924861688736	0.37127634138860693	-0.3153264620732524	0.12038789666041555	-0.03561494608791756	0.5040428975546504	0.19001025251076864	0.06665031537978482	-0.3304487225805179	-0.002155918186252877	0.4210552536005749	-0.04735251907988133	-0.11135371632617361	-0.016164574299627043	-0.23049159669564456	0.11117031726272877	0.691529438542852
ENSG00000187608	-0.2989044429981217	-0.2731540798348483	0.4455242626511928	0.25909270311742705	-0.26869801696548085	0.09299477422243524	0.2993287371560209	-0.4017354107970405	0.016752419676453512	-0.12629204156288576	0.4081916582807488	0.10564867665559885	0.03722573582555732	-0.39222615893339124	-0.04560568895051692	0.34405832445893364	-0.08999302478034393	-0.14606892809164845	-0.09421104824628156	-0.2652162167901553	0.06675832692140848	-0.08616862542293453
