ENSGID	mouse_brain2_diffexprs_tstat_clusters.1	mouse_brain2_diffexprs_tstat_clusters.2	mouse_brain2_diffexprs_tstat_clusters.3	mouse_brain2_diffexprs_tstat_clusters.4	mouse_brain2_diffexprs_tstat_clusters.5	mouse_brain2_diffexprs_tstat_clusters.6	mouse_brain2_diffexprs_tstat_clusters.7	mouse_brain2_diffexprs_tstat_clusters.8	mouse_brain2_diffexprs_tstat_clusters.9	mouse_brain2_diffexprs_tstat_clusters.10	mouse_brain2_diffexprs_tstat_clusters.11	mouse_brain2_diffexprs_tstat_clusters.12	mouse_brain2_diffexprs_tstat_clusters.13	mouse_brain2_diffexprs_tstat_clusters.14	mouse_brain2_diffexprs_tstat_clusters.15	mouse_brain2_diffexprs_tstat_clusters.16	mouse_brain2_diffexprs_tstat_clusters.17	mouse_brain2_diffexprs_tstat_clusters.18	mouse_brain2_diffexprs_tstat_clusters.19	mouse_brain2_diffexprs_tstat_clusters.20	mouse_brain2_diffexprs_tstat_clusters.21
ENSG00000186092	-0.09013230011536011	0.5646524300758483	0.5408612685714511	-0.21025576252377445	0.3460323630922158	0.39934254774072486	-0.16500563551835298	-0.12488794231788147	0.5807789500623752	0.2189404133448632	0.3392242052182803	0.2088062221708319	0.48712669707976697	0.2713241347917472	0.23040166272019838	0.2375751020432511	0.33356589490201166	0.24356805891743977	-0.3143018323853561	0.5086474338736369	0.06555112386241589
ENSG00000235249	-0.09013230011536011	0.5646524300758483	0.5408612685714511	-0.21025576252377445	0.3460323630922158	0.39934254774072486	-0.16500563551835298	-0.12488794231788147	0.5807789500623752	0.2189404133448632	0.3392242052182803	0.2088062221708319	0.48712669707976697	0.2713241347917472	0.23040166272019838	0.2375751020432511	0.33356589490201166	0.24356805891743977	-0.3143018323853561	0.5086474338736369	0.06555112386241589
ENSG00000185097	-0.09013230011536011	0.5646524300758483	0.5408612685714511	-0.21025576252377445	0.3460323630922158	0.39934254774072486	-0.16500563551835298	-0.12488794231788147	0.5807789500623752	0.2189404133448632	0.3392242052182803	0.2088062221708319	0.48712669707976697	0.2713241347917472	0.23040166272019838	0.2375751020432511	0.33356589490201166	0.24356805891743977	-0.3143018323853561	0.5086474338736369	0.06555112386241589
ENSG00000187634	0.1764820957140474	0.4739066127446699	-0.4272141902295865	0.8543193749296771	0.6788452449144418	-0.897897974424592	0.012818760326381953	0.23281289191312163	0.12455980236082032	0.4014365832774544	-0.1516892478450993	0.2989955410919698	-0.13926903865910714	0.11445694979389152	0.5296809572741592	-0.3546141409019749	0.3805672096590769	-0.29205355502038666	-0.6354099762814908	-2.6944969784541994	-0.22975352513529188
ENSG00000188976	0.664994314225304	-0.07849359342111216	-0.7509639049451563	0.491632968126167	0.004100545555290722	-0.9366012148554991	0.7874195423209976	0.6180206375689535	-0.3473384673023903	0.6132699470255556	0.3628599906018831	0.058846528509491625	-0.3382500673097446	0.4378238640603114	0.7018830205086403	-0.6879755547726005	0.310381778783345	0.4165968811682135	-0.501439190504424	-0.017677869440155255	0.8517200339828557
ENSG00000187961	-0.0050137741104326165	0.2671486403555955	-0.343959380716275	0.3556308372841705	0.4628289124941843	-0.11676811900591974	0.10936435946880092	0.45895948106512174	0.02230891982417888	0.5444501654930959	0.5212665850102284	0.1255518445082755	0.2803374695785937	-0.2041795172687191	0.11352048700559018	-0.12761999399198726	0.34504827604208244	0.196185639873795	-0.0430003132012246	0.4553547174671375	0.4464457345572295
ENSG00000187583	0.11699468561743695	0.30998224193799684	-0.14257885107594995	0.20266670804920422	0.14098759628224478	0.16050860173922074	-0.0904296055218095	-0.07040733725703288	0.2671432843864899	0.4196536467889062	0.61257503678674	0.4569998278484428	0.2098971543481044	0.37354272226531554	0.20664465252458855	0.45268471574148555	0.36511240346790563	0.289155826803277	-0.16550595211811797	0.4041715971882978	-0.18235742389800144
ENSG00000187642	-0.09013230011536011	0.5646524300758483	0.5408612685714511	-0.21025576252377445	0.3460323630922158	0.39934254774072486	-0.16500563551835298	-0.12488794231788147	0.5807789500623752	0.2189404133448632	0.3392242052182803	0.2088062221708319	0.48712669707976697	0.2713241347917472	0.23040166272019838	0.2375751020432511	0.33356589490201166	0.24356805891743977	-0.3143018323853561	0.5086474338736369	0.06555112386241589
ENSG00000188290	-0.09013230011536011	0.5646524300758483	0.5408612685714511	-0.21025576252377445	0.3460323630922158	0.39934254774072486	-0.16500563551835298	-0.12488794231788147	0.5807789500623752	0.2189404133448632	0.3392242052182803	0.2088062221708319	0.48712669707976697	0.2713241347917472	0.23040166272019838	0.2375751020432511	0.33356589490201166	0.24356805891743977	-0.3143018323853561	0.5086474338736369	0.06555112386241589
ENSG00000187608	-0.4354672855884179	0.21377476871929102	0.3725129028515371	-0.1556947454809286	-0.05482335564159782	0.25929001158328147	-0.07502804979622499	-0.518103905784901	0.2397042873258644	-0.0955700049090801	0.20913708427662026	-0.2604054111442924	0.23489219163942343	-0.22733419702261437	-0.16135974350156376	-0.2000428425075302	-0.09563806405627777	0.396381844936156	-0.7673069079620536	0.25533588058415035	-0.2892899394456395
ENSG00000188157	1.4983304596165201	-1.2221110400122284	-3.6854041467882275	0.7280691314445367	-0.6982577238040578	0.24239089572478972	1.5535223309122332	1.697747115730443	-0.7220761796450635	-0.3703219808010031	0.24399045950100173	2.2962024054450527	-0.9904556946065651	-0.6250745621719845	-0.26991581482355	-0.08477127942780036	0.45502950285019556	-0.1937155960404969	1.2915558689822864	0.8543647861466844	0.35666132098197634
